species,tmax,tmin,tmax_metric,tmin_metric,lat,longitude,hemisphere,altitude,phylum,class,order,family,genus,sim_altitude,Ref.
Takydromus_stejnegeri,43.2,NA,crit,0,25.04,121.53,N,0,Chordata,Reptilia,Squamata,Lacertidae,Takydromus,171,Huang_2008
Zootoca_vivipara,44.1,2.2,crit,crit,50.03,17.2,N,1450,Chordata,Reptilia,Squamata,Lacertidae,Zootoca,980,Gvo_dk_2001
Phrynosoma_cornutum,47.91,9.46,crit,crit,32.27,-106.75,N,1100,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,1221,Prieto_1971
Phrynosoma_douglassii,43.5,2.75,crit,crit,32.87,-105.81,N,2600,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,2571,Prieto_1971
Sceloporus_graciosus,44.7,4.8,crit,crit,33.95,-117.45,N,230,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,317,van_Berkum_1989
Sceloporus_jarrovi,NA,-3.7,0,leth,31.93,-109.38,N,2377,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,1701,Halpern_1980
Sceloporus_malachiticus,42.8,9.7,crit,crit,10.155,-85.7,N,1400,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,121,van_Berkum_1988
Sceloporus_occidentalis,44.1,4.8,crit,crit,33.95,-117.45,N,1300,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,317,van_Berkum_1988
Sceloporus_undulatus,40.4,11.4,crit,crit,33.34,-81.73,N,200,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,108,Angilletta_2002b
Sceloporus_variabilis,43.1,10.2,crit,crit,10.154,-85.628,N,0,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,380,van_Berkum_1988
Urosaurus_ornatus,43.3,NA,crit,0,31.86,-109.15,N,1690,Chordata,Reptilia,Squamata,Phrynosomatidae,Urosaurus,1387,Smith_1994
Anolis_carolinensis,41.3,9.8,crit,crit,29.95,-90.08,N,8,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,2,Lailvaux_2007
Anolis_cooki,38.9,NA,crit,0,18,-66.9,N,0,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,55,Huey_1976
Anolis_cristatellus,38.1,NA,crit,0,18.241,-66.135,N,350,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,226,Huey_1976
Anolis_cupreus,38.4,11.8,crit,crit,10.154,-85.628,N,10,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,380,van_Berkum_1988
Anolis_cybotes,39,NA,crit,0,19.2,-70.6,N,1150,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,288,Hertz_Huey_1981
Anolis_gundlachi,35.7,NA,crit,0,18.241,-66.135,N,350,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,226,Huey_1976
Anolis_humilis,35.6,12.4,crit,crit,10.45,-84.02,N,50,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,171,van_Berkum_1988
Anolis_intermedius,38.4,11.1,crit,crit,10.154,-85.628,N,1450,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,380,van_Berkum_1988
Anolis_lemurinus,37.3,12.9,crit,crit,10.45,-84.02,N,50,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,171,van_Berkum_1988
Anolis_limifrons,36.8,12.3,crit,crit,10.45,-84.02,N,50,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,171,van_Berkum_1988
Anolis_lionotus,36.7,14.7,crit,crit,10.45,-84.02,N,50,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,171,van_Berkum_1988
Anolis_shrevei,40.1,NA,crit,0,18.8,-70.7,N,2200,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,1555,Hertz_Huey_1981
Anolis_tropidolepis,33.1,9.5,crit,crit,10.154,-85.628,N,1500,Chordata,Reptilia,Squamata,Polychrotidae,Anolis,380,van_Berkum_1988
Ctenotus_regius,45.1,8.7,crit,crit,-34.18,139.99,S,49.6,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,48,Bennett_1986
Ctenotus_taeniolatus,44.7,11.4,crit,crit,-34.57,139.57,S,0,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,32,Bennett_1986
Ctenotus_uber,45.5,9.1,crit,crit,-34.57,139.57,S,0,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,32,Bennett_1986
Egernia_striola,44.2,6.1,crit,crit,-34.57,139.57,S,0,Chordata,Reptilia,Squamata,Scincidae,Egernia,32,Bennett_1986
Eremiascincus_fasciolatus,41.2,9,crit,crit,-27.75,140.72,S,42,Chordata,Reptilia,Squamata,Scincidae,Eremiascincus,44,Bennett_1986
Eremiascincus_richardsoni,42,7.3,crit,crit,-34.57,139.57,S,0,Chordata,Reptilia,Squamata,Scincidae,Eremiascincus,32,Bennett_1986
Eumeces_elegans,41.9,9.3,crit,crit,30.2,120.2,N,18,Chordata,Reptilia,Squamata,Scincidae,Eumeces,12,Du_2000
Oligosoma_maccanni,NA,3.3,0,crit,-45.45,170.4,S,523,Chordata,Reptilia,Squamata,Scincidae,Oligosoma,510,Beeson_2007
Plestiodon_gilberti,42.3,7.7,crit,crit,37,-119,N,600,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,2038,Youssef_2008
Sphenomorphus_incognitus,41.5,11.6,crit,crit,22.121,120.958,N,0,Chordata,Reptilia,Squamata,Scincidae,Sphenomorphus,195,Huang_2006
Sphenomorphus_taiwanensis,38.4,5.8,crit,crit,24.1,121.3,N,2700,Chordata,Reptilia,Squamata,Scincidae,Sphenomorphus,2188,Huang_2006
Ameiva_festiva,43.7,15.5,crit,crit,10.45,-84.02,N,50,Chordata,Reptilia,Squamata,Teiidae,Ameiva,171,van_Berkum_1988
Cnemidophorus_tigris,45.1,10.5,crit,crit,42.83,-116.02,N,300,Chordata,Reptilia,Squamata,Teiidae,Cnemidophorus,1119,van_Berkum_1988
Liolaemus_abaucan,47.3,15.41,crit,crit,-27.2499,-67.42391,S,1550,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,2958,Cruz_2005
Liolaemus_albiceps,44.33,7.05,crit,crit,-24.31723333,-66.15191667,S,3500,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,3961,Cruz_2005
Liolaemus_altissimus,NA,3.99,0,crit,-33.4,-70.8,S,2850,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_bibronii,44.53,8.49,crit,crit,-44.03521,-68.36099,S,1500,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,502,Cruz_2005
Liolaemus_boulengeri,43.99,9.4,crit,crit,-42.3947,-64.59311,S,1000,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,41,Cruz_2005
Liolaemus_canqueli,44.6,6.99,crit,crit,-44.03771,-68.35657,S,900,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,502,Cruz_2005
Liolaemus_capillitas,43.7,7.47,crit,crit,-29.73333333,-67.75,S,3300,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1686,Cruz_2005
Liolaemus_cf_elongatus,45.1,7.68,crit,crit,-41.88333333,-69.36666667,S,1850,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1275,Cruz_2005
Liolaemus_cf_telsen,44.6,8.98,crit,crit,-42.3947,-64.59311,S,400,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,41,Cruz_2005
Liolaemus_chacoensis,44.1,14.9,crit,crit,-28.8017,-66.93978333,S,700,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1408,Cruz_2005
Liolaemus_chiliensis,NA,3.68,0,crit,-33.4,-70.8,S,1500,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_constanzae,NA,7.9,0,crit,-26.46,-68.14,S,2400,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,3962,Labra_2001
Liolaemus_cuyanus,45.7,12,crit,crit,-28.18,-67.11,S,1200,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,981,Cruz_2005
Liolaemus_darwinii,44.68,10.11,crit,crit,-29.51,-67.57,S,1900,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,2064,Cruz_2005
Liolaemus_fabiani,NA,11.33,0,crit,-26.46,-68.14,S,2400,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,3962,Labra_2001
Liolaemus_fitzingerii,44.45,8.24,crit,crit,-43.48536,-65.46557,S,550,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,167,Cruz_2005
Liolaemus_fuscus,NA,3.9,0,crit,-33.4,-70.8,S,1200,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_irregularis,44.98,6.96,crit,crit,-24.25133333,-66.352,S,4030,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,4338,Cruz_2005
Liolaemus_kingii,44.5,7.01,crit,crit,-45.41,-67.56,S,500,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,470,Cruz_2005
Liolaemus_koslowskyi,46.1,13.22,crit,crit,-28.48102,-66.56387,S,1825,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,685,Cruz_2005
Liolaemus_kriegi,43.67,7.6,crit,crit,-42.07833333,-69.51715,S,1525,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1070,Cruz_2005
Liolaemus_laurenti,46.18,12.2,crit,crit,-30.1226,-67.4013,S,950,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1211,Cruz_2005
Liolaemus_lemniscatus,NA,5.95,0,crit,-33.4,-70.8,S,1200,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_leopardinus,NA,3.3,0,crit,-33.4,-70.8,S,2850,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_melanops,44.94,5.65,crit,crit,-42.26993,-64.0754,S,1485,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,33,Cruz_2005
Liolaemus_monticola,NA,4.54,0,crit,-33.4,-70.8,S,2200,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_multicolor,44.7,8.06,crit,crit,-24.30526667,-66.15116667,S,0,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,3961,Cruz_2005
Liolaemus_multimaculatus,43.83,8.93,crit,crit,-38.54,-58.55266667,S,500,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,31,Cruz_2005
Liolaemus_nigroroseus,NA,11.6,0,crit,-26.46,-68.14,S,2400,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,3962,Labra_2001
Liolaemus_nigroviridis,NA,2.63,0,crit,-33.4,-70.8,S,2675,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_nitidus,NA,3.6,0,crit,-33.4,-70.8,S,2200,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_olongasta,44.58,11.85,crit,crit,-29.81666667,-67.95,S,1400,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1351,Cruz_2005
Liolaemus_petrophilus,45.23,7.31,crit,crit,-42.2606,-68.4115,S,1250,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1193,Cruz_2005
Liolaemus_poecilochromus,44.16,9.35,crit,crit,-27.52333333,-68.12583333,S,3950,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,3808,Cruz_2005
Liolaemus_pseudoanomalus,45.93,12.19,crit,crit,-28.8017,-66.93978333,S,1355,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1408,Cruz_2005
Liolaemus_quilmes,44.69,8.46,crit,crit,-26.5936,-66.1649,S,2300,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,2335,Cruz_2005
Liolaemus_riojanus,45.2,10.7,crit,crit,-30.20433333,-67.66883333,S,750,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1393,Cruz_2005
Liolaemus_robertmertensi,43,14.07,crit,crit,-28.80833333,-66.74216667,S,1645,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,937,Cruz_2005
Liolaemus_rothi,43.8,5.5,crit,crit,-40.2863,-68.45448333,S,1050,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1036,Cruz_2005
Liolaemus_salinicola,48.21,14.2,crit,crit,-27.47616667,-67.64016667,S,1025,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1734,Cruz_2005
Liolaemus_scapularis,45.57,9.39,crit,crit,-26.5936,-66.1649,S,1550,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,2335,Cruz_2005
Liolaemus_schroederi,NA,5.4,0,crit,-33.4,-70.8,S,2350,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_scrocchi,43.91,8.83,crit,crit,-24.13516667,-66.67433333,S,3900,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,4207,Cruz_2005
Liolaemus_sp_1,45,7.3,crit,crit,-37.3963,-67.1124,S,1200,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,240,Cruz_2005
Liolaemus_sp_2,44.7,8.1,crit,crit,-40.44288333,-68.3728,S,200,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,1101,Cruz_2005
Liolaemus_sp_3,43.85,9.67,crit,crit,-24.30526667,-66.15116667,S,3350,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,3961,Cruz_2005
Liolaemus_tenuis,NA,4.16,0,crit,-33.4,-70.8,S,1500,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,476,Carothers_1997
Liolaemus_xanthoviridis,44.48,7.86,crit,crit,-43.73838333,-65.5761,S,50,Chordata,Reptilia,Squamata,Tropiduridae,Liolaemus,250,Cruz_2005
Phymaturus_patagonicus,39.9,9.8,crit,crit,-41.2,-71,S,900,Chordata,Reptilia,Squamata,Tropiduridae,Phymaturus,1144,Ibarguengoyt_a_2005
Protobothrops_mucrosquamatus,38.6,3.5,crit,crit,25.03,121.5,N,0,Chordata,Reptilia,Squamata,Viperidae,Protobothrops,171,Huang_2007b
Trimeresurus_gracilis,38.3,3.7,crit,crit,23.9,120.7,N,2000,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,345,Huang_2007b
Trimeresurus_stejnegeri_stejnegeri,38.9,5.6,crit,crit,25.03,121.5,N,0,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,171,Huang_2007b
Lepidophyma_flavimaculatum,38,11.3,crit,crit,10.45,-84.02,N,50,Chordata,Reptilia,Squamata,Xantusiidae,Lepidophyma,171,van_Berkum_1988
Xantusia_riversiana,39,6.6,crit,crit,33.647,-117.739,N,250,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,125,Mautz_1992
Xantusia_vigilis,41.6,6.9,crit,crit,33.95,-117.45,N,2000,Chordata,Reptilia,Squamata,Xantusiidae,Xantusia,317,van_Berkum_1988
