"","trainPres","bio1","bio5","bio6"
"867",1,13.5,28.7,2.7
"548",1,17.6,28.9,6.6
"1014",0,14.5,34.9,0.1
"414",1,17.3,28,7.2
"919",1,17.4,36.9,1.6
"581",1,12.6,24.5,2.6
"136",1,17.9,30.9,6.5
"965",1,17.4,30.4,5.9
"210",1,17.4,28.9,6.8
"838",1,16.2,35.6,2.3
"527",1,17.8,27.2,8.7
"452",1,17.6,33.2,4.5
"355",1,13,23,4.3
"765",1,18.2,28.8,8.4
"319",1,17.1,27.9,7.5
"253",1,17.2,27.8,6.9
"1045",0,13.6,28.8,1.9
"151",1,16.3,28.8,5.5
"420",1,17.9,32,5.8
"220",1,17.4,31.6,5.1
"188",1,12.9,20.8,5.2
"584",1,13.5,23.7,4
"42",1,17.3,32.3,4.7
"897",1,14.3,31.1,1.8
"305",1,17.6,31.5,5.8
"879",1,17.8,30,6.2
"704",1,17.8,30,6.3
"785",1,17.8,30,6.3
"902",1,17.6,33.6,4.7
"1070",0,17.4,36.7,2.1
"936",1,14.3,23.9,5.7
"587",1,15.3,27,4.8
"1072",0,16.4,35.6,2.4
"339",1,16.8,25.8,7.6
"409",1,16,27.7,5.3
"477",1,17.4,31.6,5.1
"964",1,13.5,28.7,2.7
"773",1,14.3,31.3,1
"892",1,16.1,32.4,2.9
"365",1,17.9,32,5.8
"459",1,14.6,34.2,0.1
"50",1,15.1,28.8,3.5
"860",1,17.6,30.8,5.8
"337",1,16.9,26.6,6.8
"167",1,16.9,24.4,8.5
"697",1,18.7,38.2,2.7
"129",1,17.3,27.2,7.4
"672",1,17.8,30.3,6.1
"839",1,16,31.8,3.1
"553",1,14.3,31.1,1.8
"962",1,17.8,30,6.3
"933",1,15.5,33,2.3
"261",1,17.3,28,7.2
"604",1,14,33.2,0.1
"334",1,17.9,32,5.8
"800",1,13.6,27.3,2.7
"797",1,18.2,32.3,5.4
"602",1,18.2,28.8,8.4
"1079",0,16.5,35.6,2.7
"184",1,17.6,30.9,5.4
"489",1,13.5,28.7,2.7
"221",1,17.6,29.8,6.7
"438",1,14.4,25.1,4.7
"645",1,17.6,31.4,5.6
"140",1,17.8,30,6.2
"825",1,17.6,33.2,4.5
"388",1,17.2,26.3,8.6
"708",1,16.8,29.7,5.9
"753",1,17.4,31.3,5.5
"717",1,17.9,32,5.8
"878",1,17.7,32.4,5.2
"1024",0,17.3,32,4.9
"421",1,15.8,34.1,2.8
"468",1,12.6,26.9,1.6
"275",1,17,26,7.8
"283",1,17.9,30.9,6.5
"17",1,17.9,31.1,6
"408",1,17.1,25.6,8.3
"700",1,17.6,27.2,8.4
"5",1,17.4,26.9,8.7
"58",1,13.1,23.1,4.5
"134",1,17.2,31.8,4.9
"618",1,17.3,29.3,6.8
"1057",0,16.1,32.4,2.9
"774",1,14.3,31.1,1.8
"375",1,12.9,30.3,-0.5
"959",1,16.1,34.5,3
"517",1,13.1,23.1,4
"605",1,16.9,24.4,8.5
"108",1,12.6,24.2,3.3
"317",1,16.9,24.4,8.5
"179",1,17.3,28,7.2
"46",1,17.8,29.3,6.6
"315",1,13.3,31.9,0
"51",1,13.5,25.2,3.7
"788",1,17.8,27.2,8.8
"43",1,17.3,28,7.2
"869",1,17.9,30.9,6.5
"234",1,17.3,29.3,6.8
"78",1,17.4,29.9,6.2
"56",1,17.8,31.7,5.8
"688",1,17.7,30.4,6
"590",1,16.9,24.4,8.5
"637",1,14.3,31.1,1.8
"762",1,17.6,30.8,5.8
"80",1,16.3,31.7,4.1
"76",1,17.1,27.5,8
"621",1,16.5,29.7,5.5
"609",1,17.8,30.9,6.2
"9",1,17.9,31.8,5.5
"603",1,17.4,31.6,5.1
"564",1,15.2,30.7,2.3
"1078",0,14.8,33.5,1.2
"373",1,17.3,28,7.2
"122",1,15.6,34.9,0.5
"8",1,14.7,27.6,3.7
"350",1,15.2,29.8,2.5
"379",1,13.7,25.7,3.3
"300",1,17.9,30.9,6.5
"358",1,17.3,28,7.2
"544",1,15.4,29.4,3.9
"857",1,17.6,33.6,4.7
"272",1,17.9,30.9,6.5
"611",1,14.9,29.2,3.4
"634",1,13.8,25,3.6
