"","species","simple","eMinMax","normdist","maxent"
"1","Bufo marmoreus","0.820494864612512","0.8265639589169","0.753267973856209","0.752801120448179"
"2","Bufo mazatlanensis","0.876562954347194","0.839633614422797","0.759668508287293","0.854463506833382"
"3","Eleutherodactylus fleischmanni","0.865116279069767","0.849612403100775","0.841860465116279","0.897674418604651"
"4","Dendrobates auratus","0.625454545454545","0.644545454545455","0.620909090909091","0.65"
"5","Hyla regilla","NaN","NaN","NaN","NaN"
