,species,score1,score2,score3,score4,lat,lon,geometry,WWF_MHTNAM-ecoregion,ECO_NAME-ecoregion
0,Anolis carolinensis,0.697432882618068,0.681755829903978,0.6276699980403679,0.689986282578875,30.6100525418367,-95.36826538673469,POINT (-95.36826538673469 30.6100525418367),Temperate Conifer Forests,Upper West Gulf Coastal Plain
1,Anolis cupreus,0.8253521126760559,0.825704225352113,0.8084507042253521,0.7397887323943659,10.438717826101199,-84.8217449702201,POINT (-84.8217449702201 10.4387178261012),Tropical and Subtropical Moist Broadleaf Forests,Isthmian-Atlantic Moist Forests
2,Anolis humilis,0.8582621082621079,0.8440170940170941,0.7495251661918331,0.79320987654321,10.3638909599721,-84.1767005813859,POINT (-84.1767005813859 10.3638909599721),Tropical and Subtropical Moist Broadleaf Forests,Isthmian-Atlantic Moist Forests
3,Anolis intermedius,0.6792929292929291,0.669191919191919,0.684343434343434,0.7424242424242421,9.96868276294891,-84.1348119826708,POINT (-84.1348119826708 9.968682762948911),Tropical and Subtropical Moist Broadleaf Forests,Costa Rican Seasonal Moist Forests
4,Anolis lemurinus,0.722631320569465,0.7486499754540992,0.737604320078547,0.639543446244477,16.5879103385629,-90.9928411643135,POINT (-90.9928411643135 16.5879103385629),Tropical and Subtropical Moist Broadleaf Forests,Petén-Veracruz Moist Forests
5,Anolis limifrons,0.8468789808917199,0.858089171974523,0.8331210191082801,0.7938853503184709,11.3123137888343,-84.127161289388,POINT (-84.127161289388 11.3123137888343),Tropical and Subtropical Moist Broadleaf Forests,Isthmian-Atlantic Moist Forests
6,Anolis lionotus,0.7253086419753091,0.712962962962963,0.70679012345679,0.694444444444444,10.1907847424075,-83.7234220696816,POINT (-83.7234220696816 10.1907847424075),Tropical and Subtropical Moist Broadleaf Forests,Isthmian-Atlantic Moist Forests
7,Anolis tropidolepis,0.957756232686981,0.946675900277008,0.9293628808864259,0.917590027700831,10.0093717958735,-84.04910831303091,POINT (-84.04910831303091 10.0093717958735),Tropical and Subtropical Moist Broadleaf Forests,Costa Rican Seasonal Moist Forests
8,Bufo alvarius,0.746169560776302,0.6991828396322779,0.740551583248212,0.6179775280898879,30.6817034921089,-110.265888723641,POINT (-110.265888723641 30.6817034921089),Deserts and Xeric Shrublands,Apache Highlands
9,Bufo canaliferus,0.8782713498622591,0.910468319559229,0.84573002754821,0.757059228650138,15.3012823411031,-92.5517109098679,POINT (-92.55171090986789 15.3012823411031),Tropical and Subtropical Moist Broadleaf Forests,Sierra Madre De Chiapas Moist Forests
10,Bufo debilis,0.895395395395395,0.902402402402402,0.896563229896563,0.8845512178845508,27.907027158759302,-103.77168907196,POINT (-103.77168907196 27.9070271587593),Deserts and Xeric Shrublands,Chihuahuan Desert
11,Bufo marinus,0.79375,0.783333333333333,0.759375,0.7934027777777779,15.114639260084902,-44.6269180636943,POINT (-44.6269180636943 15.1146392600849),,
12,Bufo marmoreus,0.752941176470588,0.787745098039216,0.7512254901960792,0.7763480392156858,18.0680076058085,-99.35605326070721,POINT (-99.35605326070721 18.0680076058085),Tropical and Subtropical Coniferous Forests,Sierra Madre Del Sur Pine-Oak Forests
13,Bufo mazatlanensis,0.882133995037221,0.9412737799834571,0.895368072787428,0.9421009098428449,27.0471048343469,-108.614598068305,POINT (-108.614598068305 27.0471048343469),Tropical and Subtropical Coniferous Forests,Sierra Madre Occidental Pine-Oak Forests
14,Chamaeleo dilepis,0.593085106382979,0.638297872340426,0.6291371158392429,0.5933806146572099,-16.7302184559342,30.301287304412497,POINT (30.3012873044125 -16.7302184559342),"Tropical and Subtropical Grasslands, Savannas and Shrublands",Southern Miombo Woodlands
15,Chamaeleo ellioti,0.843012704174229,0.6052631578947371,0.795825771324864,0.7831215970961891,0.26543568503937,31.840983307086603,POINT (31.8409833070866 0.26543568503937),"Tropical and Subtropical Grasslands, Savannas and Shrublands",Victoria Basin Forest-Savanna Mosaic
16,Chamaeleo jacksonii,0.858823529411765,0.7852941176470591,0.767647058823529,0.8,12.5362688448623,-81.4283880513318,POINT (-81.42838805133179 12.5362688448623),,
17,Ctenotus taeniolatus,0.7126840696117801,0.748493975903614,0.756526104417671,0.674029451137885,-32.77320563598,150.28464857945698,POINT (150.284648579457 -32.77320563598),Temperate Broadleaf and Mixed Forests,Eastern Australian Temperate Forests
18,Ctenotus uber,0.547017189079879,0.586113919784294,0.5439838220424671,0.558476575665656,-29.2195818236566,127.15347928125,POINT (127.15347928125 -29.2195818236566),Deserts and Xeric Shrublands,Nullarbor Plains Xeric Shrublands
19,Dendrobates auratus,0.801994301994302,0.787037037037037,0.7941595441595442,0.7752849002849,10.2449713264692,-87.70340884997049,POINT (-87.70340884997049 10.2449713264692),,
20,Eleutherodactylus coqui,0.444756554307116,0.441947565543071,0.589887640449438,0.596441947565543,20.870922075419,-141.259858712291,POINT (-141.259858712291 20.870922075419),,
21,Eleutherodactylus fleischmanni,0.8308943089430891,0.936585365853659,0.889430894308943,0.8926829268292679,9.95533566487685,-83.815790913293,POINT (-83.815790913293 9.95533566487685),Tropical and Subtropical Moist Broadleaf Forests,Costa Rican Seasonal Moist Forests
22,Eremias argus,0.839420289855073,0.846376811594203,0.79304347826087,0.871884057971015,38.6860590638056,119.675565424769,POINT (119.675565424769 38.6860590638056),,
23,Eremias multiocellata,0.623781676413255,0.569200779727095,0.576023391812865,0.756335282651072,40.102018517558,89.0285841765317,POINT (89.02858417653169 40.102018517558),Deserts and Xeric Shrublands,Taklimakan Desert
